message,label,category
Unusual login detected on your social media account. Confirm your identity within 48 hours.,high,Suspicious Message
"""Your account verification failed. Submit your details again.""",high,Suspicious Message
The event starts at 8 PM this Saturday.,low,Legitimate Message
Use code EXTRA15 for 60% off home goods this this weekend.,medium,Suspicious Message
Use code WELCOME5 for 15% off clothing this Friday.,medium,Suspicious Message
"Good morning, I hope you have a great day.",low,Legitimate Message
Use code EXTRA15 for 10% off groceries this this weekend.,medium,Suspicious Message
Reminder: the meeting starts at 6:15 PM.,low,Legitimate Message
The team meeting is scheduled for Wednesday.,low,Legitimate Message
Earn $2000 cashback when you shop home goods at the club.,medium,Spam / Promotional
I have sent the required documents.,low,Legitimate Message
Use code TREAT25 for 20% off groceries this Friday.,medium,Suspicious Message
"""Your account needs immediate verification to remain active.""",high,Suspicious Message
Your Microsoft password will expire 3 days. Click here to reset it.,high,Suspicious Message
Could you review the summary before Wednesday?,low,Legitimate Message
I have completed the online form.,low,Legitimate Message
Earn $750 cashback when you shop clothing at the club.,medium,Spam / Promotional
Earn $50 cashback when you shop electronics at our partner.,medium,Spam / Promotional
Your PayPal password will expire 24 hours. Click here to reset it.,high,Suspicious Message
"Get 60% off your next groceries purchase, use code FREESHIP!",medium,Spam / Promotional
"""Microsoft security team: confirm your account details to continue.""",high,Suspicious Message
Your email account has been flagged for review. Verify your identity to avoid suspension.,high,Suspicious Message
"Get 10% off your next accessories purchase, use code FREESHIP!",medium,Spam / Promotional
"Get 40% off your next furniture purchase, use code SAVE10!",medium,Suspicious Message
"""You are selected as our lucky winner. Reply YES to receive your gift.""",medium,Spam / Promotional
"""Your identity verification is required immediately.""",high,Suspicious Message
Exclusive deal just for you: 50% off accessories at our partner.,medium,Suspicious Message
The system backup has completed successfully.,low,Legitimate Message
Let's catch up over dinner this Wednesday.,low,Legitimate Message
The file has been saved successfully.,low,Legitimate Message
Please confirm your availability for the conference.,low,Legitimate Message
I will complete the remaining tasks soon.,low,Legitimate Message
Use code SAVE10 for 50% off clothing this tonight.,medium,Suspicious Message
I will be at the office around 2 PM.,low,Legitimate Message
"""Don't miss this unbelievable promotion.""",medium,Suspicious Message
"""Your lucky number has been selected. Claim your prize.""",medium,Spam / Promotional
The project review is scheduled for Tuesday.,low,Legitimate Message
"""Free products available for early users.""",medium,Spam / Promotional
Your PayPal account will be permanently deleted in 48 hours unless you verify now.,high,Suspicious Message
Can you send me the schedule for the training session?,low,Legitimate Message
Your your employer account has been flagged for review. Verify your identity to avoid suspension.,high,Suspicious Message
"Get 25% off your next clothing purchase, use code EXTRA15!",medium,Suspicious Message
Can you send me the schedule for the interview?,low,Legitimate Message
Could you review the document before Friday?,low,Legitimate Message
Your government tax account has been locked. Verify your information to unlock it.,high,Suspicious Message
Final notice: your email account will be suspended in 3 days. Act now.,high,Suspicious Message
The package arrived this afternoon.,low,Legitimate Message
"""Your bank requires confirmation of your personal information.""",high,Suspicious Message
Thank you for your assistance with this matter.,low,Legitimate Message
"""Click now to unlock your special discount.""",medium,Suspicious Message
I will contact you after the meeting.,low,Legitimate Message
"""Get bonus points by registering today.""",medium,Suspicious Message
Don't miss out: 25% off furniture ends this weekend.,medium,Suspicious Message
The weather looks nice for the weekend hike.,low,Legitimate Message
"""Act fast and get free vouchers now!!!""",medium,Spam / Promotional
Your Netflix recovery request is pending. Confirm your credentials to proceed.,high,Suspicious Message
our outlet rewards: claim your shopping voucher worth $1000 today.,medium,Suspicious Message
"""Your personal details have not been confirmed. Update now.""",high,Suspicious Message
We noticed suspicious activity on your your employer account. Confirm your details now.,high,Suspicious Message
Your Apple account will be permanently deleted in 12 hours unless you verify now.,high,Suspicious Message
I will be at the office around 5 PM.,low,Legitimate Message
Your mailbox quota is full. Login to keep receiving email.,high,Suspicious Message
"""Apple ID security notice: Your account has been disabled. Restore access now.""",high,Suspicious Message
I will attend the training session tomorrow.,low,Legitimate Message
The event will begin at 7 PM.,low,Legitimate Message
Please let me know your availability.,low,Legitimate Message
I will call you after work.,low,Legitimate Message
"""Your account information does not match our records. Update now.""",high,Suspicious Message
Can we reschedule the meeting to Thursday?,low,Legitimate Message
Let's catch up over breakfast this Tuesday.,low,Legitimate Message
I will join the discussion after my class ends.,low,Legitimate Message
Earn $2000 cashback when you shop beauty products at the retailer.,medium,Spam / Promotional
Use code WELCOME5 for 15% off electronics this this weekend.,medium,Suspicious Message
See you at the cafe tomorrow at 9 AM.,low,Legitimate Message
See you at the cafe tomorrow at 2 PM.,low,Legitimate Message
Can we reschedule the conference to Tuesday?,low,Legitimate Message
"""Earn rewards from your daily activities.""",medium,Suspicious Message
"""Your account information must be verified before the next login.""",high,Suspicious Message
Earn $500 cashback when you shop clothing at our outlet.,medium,Spam / Promotional
Use code WELCOME5 for 60% off furniture this this weekend.,medium,Suspicious Message
"""Your chance to win a prize is here.""",medium,Spam / Promotional
WhatsApp verification code expired. Re-enter credentials at link.,high,Suspicious Message
I will prepare the necessary documents.,low,Legitimate Message
Your request has been successfully completed.,low,Legitimate Message
Can we reschedule the appointment to next week?,low,Legitimate Message
Could you review the invoice before Friday?,low,Legitimate Message
DocuSign: you have a pending document. Review and sign now.,high,Suspicious Message
Use code BONUS20 for 25% off beauty products this Friday.,medium,Suspicious Message
Exclusive deal just for you: 70% off home goods at our store.,medium,Suspicious Message
We could not verify your social media details. Update them within 2 hours or lose access.,high,Suspicious Message
We could not verify your government tax details. Update them within 12 hours or lose access.,high,Suspicious Message
Claim your free gadget bundle before midnight.,medium,Spam / Promotional
Use code DEAL30 for 70% off electronics this Monday.,medium,Suspicious Message
Just checking in to see how the project is going.,low,Legitimate Message
Use code TREAT25 for 25% off home goods this midnight.,medium,Suspicious Message
Use code DEAL30 for 30% off home goods this the end of the week.,medium,Suspicious Message
Free mug with every electronics order this week only.,medium,Spam / Promotional
Your Instagram invoice is overdue. Provide your payment information immediately.,high,Suspicious Message
I've attached the file you requested.,low,Legitimate Message
Your email password will expire the next hour. Click here to reset it.,high,Suspicious Message
We noticed suspicious activity on your insurance account. Confirm your details now.,high,Suspicious Message
See you at the office tomorrow at noon.,low,Legitimate Message
The task has been completed successfully.,low,Legitimate Message
I will help you with the project.,low,Legitimate Message
Can you send me the invoice for the conference?,low,Legitimate Message
I have updated the software successfully.,low,Legitimate Message
"Get 15% off your next accessories purchase, use code EXTRA15!",medium,Suspicious Message
"""Your account has been temporarily suspended. Verify now.""",high,Suspicious Message
Immediate action required: your Microsoft account will be closed in 2 hours.,high,Suspicious Message
The new schedule has been shared.,low,Legitimate Message
"""Win exciting prizes by completing this short survey.""",medium,Spam / Promotional
Can we reschedule the interview to tomorrow?,low,Legitimate Message
Last chance! 90% off designer watches today only.,medium,Suspicious Message
Your Apple account requires urgent verification to prevent permanent closure.,high,Suspicious Message
I will share the presentation slides later.,low,Legitimate Message
"Get 10% off your next beauty products purchase, use code VIP50!",medium,Suspicious Message
Earn $1000 cashback when you shop beauty products at our store.,medium,Spam / Promotional
Can we reschedule the workshop to next week?,low,Legitimate Message
"""Netflix security notice: Update your payment details to continue service.""",high,Suspicious Message
Click here to confirm your bank login before your session expires in 3 days.,high,Suspicious Message
"""Your free reward is waiting for confirmation.""",medium,Spam / Promotional
"""Your exclusive deal is waiting.""",medium,Suspicious Message
Reminder: the class starts at 5 PM.,low,Legitimate Message
Let me know if you need anything else for assignment.,low,Legitimate Message
I will call you when I arrive.,low,Legitimate Message
I will join the online class tonight.,low,Legitimate Message
We noticed suspicious activity on your email account. Confirm your details now.,high,Suspicious Message
"""Your online profile requires immediate verification.""",high,Suspicious Message
Use code BONUS20 for 10% off groceries this this weekend.,medium,Suspicious Message
our store rewards: claim your gift card worth $250 today.,medium,Spam / Promotional
Immediate action required: your bank account will be closed in 2 hours.,high,Suspicious Message
"""Your bank account verification deadline is today.""",high,Suspicious Message
"""Online shopping festival starts now. Enjoy discounts.""",medium,Suspicious Message
Refer a friend to the retailer and earn $2000 in credit.,medium,Suspicious Message
The project review is scheduled for Monday.,low,Legitimate Message
Your account balance has been updated.,low,Legitimate Message
The system maintenance has been completed.,low,Legitimate Message
I am travelling home today.,low,Legitimate Message
"""Special offer ends tonight. Purchase before deadline.""",medium,Spam / Promotional
Could you review the file before Thursday?,low,Legitimate Message
The meeting has been moved to another time.,low,Legitimate Message
Use code FREESHIP for 60% off beauty products this Friday.,medium,Spam / Promotional
Your email account requires urgent verification to prevent permanent closure.,high,Suspicious Message
Final notice: your email account will be suspended in 24 hours. Act now.,high,Suspicious Message
Let's catch up over coffee this Thursday.,low,Legitimate Message
Can you send me the file for the training session?,low,Legitimate Message
Can we reschedule the conference to tomorrow?,low,Legitimate Message
Unusual login detected on your Netflix account. Confirm your identity within 24 hours.,high,Suspicious Message
Reminder: the conference starts at 2 PM.,low,Legitimate Message
"""Your e-wallet account needs identity verification before use.""",high,Suspicious Message
"""Grab account warning: Please confirm your payment information.""",high,Suspicious Message
Use code FREESHIP for 20% off furniture this Monday.,medium,Spam / Promotional
We noticed suspicious activity on your social media account. Confirm your details now.,high,Suspicious Message
"""Your bonus credit has been added. Use it now.""",medium,Suspicious Message
We could not verify your email details. Update them within 24 hours or lose access.,high,Suspicious Message
Could you review the document before next week?,low,Legitimate Message
The train will arrive at 6 PM.,low,Legitimate Message
I've attached the document you requested.,low,Legitimate Message
Earn $500 cashback when you shop electronics at the retailer.,medium,Spam / Promotional
The meeting room has been reserved for tomorrow.,low,Legitimate Message
Win a luxury vacation. Enter your details to participate.,medium,Suspicious Message
Click here to confirm your social media login before your session expires in the next hour.,high,Suspicious Message
"""Get instant rewards after signing up today.""",medium,Suspicious Message
Use code TREAT25 for 30% off shoes this Monday.,medium,Suspicious Message
The team meeting is scheduled for Friday.,low,Legitimate Message
Can you send me the report for the conference?,low,Legitimate Message
Your social media account has been locked. Verify your information to unlock it.,high,Suspicious Message
The professor moved the deadline to next Wednesday.,low,Legitimate Message
"""Your account requires additional authentication.""",high,Suspicious Message
"""We detected unusual login activity. Click https://secure-login.example""",high,Phishing Attempt
Can we reschedule the conference to Wednesday?,low,Legitimate Message
Can we reschedule the meeting to Monday?,low,Legitimate Message
"""Your online banking account needs confirmation.""",high,Suspicious Message
The team meeting has been confirmed.,low,Legitimate Message
"""Your online account has been compromised. Verify ownership now.""",high,Suspicious Message
"""Congratulations! You have received a bonus reward.""",medium,Suspicious Message
The report has been approved by the manager.,low,Legitimate Message
We could not verify your Microsoft details. Update them within 48 hours or lose access.,high,Suspicious Message
Your tax refund is pending. Confirm your bank details within 3 days to receive it.,high,Suspicious Message
The team meeting is scheduled for next week.,low,Legitimate Message
our outlet rewards: claim your new phone worth $2000 today.,medium,Suspicious Message
Use code DEAL30 for 70% off shoes this midnight.,medium,Suspicious Message
We could not verify your insurance details. Update them within 3 days or lose access.,high,Suspicious Message
Your number was chosen in our monthly lottery draw.,medium,Suspicious Message
I will be at the airport around 6:15 PM.,low,Legitimate Message
"The status update looks good, thanks for putting it together.",low,Legitimate Message
"""Flash sale starts now! Save big on your favourite items.""",medium,Suspicious Message
We could not verify your PayPal details. Update them within today or lose access.,high,Suspicious Message
"""Your email storage is full. Login to increase your limit.""",high,Suspicious Message
Can we reschedule the workshop to tomorrow?,low,Legitimate Message
Could you review the invoice before next week?,low,Legitimate Message
Use code TREAT25 for 30% off groceries this Monday.,medium,Suspicious Message
Use code TREAT25 for 60% off furniture this Monday.,medium,Suspicious Message
Hello how are you today?,low,Legitimate Message
Buy one get ten free. Limited stock available.,medium,Spam / Promotional
See you at the gym tomorrow at 10:30 AM.,low,Legitimate Message
Use code VIP50 for 15% off clothing this tonight.,medium,Suspicious Message
"Get 20% off your next furniture purchase, use code BONUS20!",medium,Suspicious Message
"Flash sale! 40% off everything at our outlet, today only.",medium,Suspicious Message
Thank you for your patience and support.,low,Legitimate Message
Your Amazon invoice is overdue. Provide your payment information immediately.,high,Suspicious Message
Click here to confirm your Amazon login before your session expires in 48 hours.,high,Suspicious Message
Immediate action required: your Apple account will be closed in 3 days.,high,Suspicious Message
The website content has been updated.,low,Legitimate Message
Use code WELCOME5 for 25% off beauty products this tonight.,medium,Suspicious Message
The application form has been submitted.,low,Legitimate Message
Please contact the support team if you need help.,low,Legitimate Message
"""Your service account will be suspended without verification.""",high,Suspicious Message
"""Congratulations! You have won a special prize.""",medium,Spam / Promotional
I received the package safely.,low,Legitimate Message
Final notice: your bank account will be suspended in 12 hours. Act now.,high,Suspicious Message
"""Your device has been linked to another account. Verify ownership.""",high,Suspicious Message
"""Big discount alert! Shop now.""",medium,Suspicious Message
"""Get your free reward by replying YES now.""",medium,Spam / Promotional
Can you send me the agenda for the conference?,low,Legitimate Message
Your social media recovery request is pending. Confirm your credentials to proceed.,high,Suspicious Message
"Get 40% off your next groceries purchase, use code FREESHIP!",medium,Spam / Promotional
Use code FREESHIP for 10% off furniture this Monday.,medium,Spam / Promotional
Use code VIP50 for 80% off furniture this this weekend.,medium,Suspicious Message
"""Security warning: Your login details may have been stolen. Change your password now.""",high,Suspicious Message
I have completed the required training.,low,Legitimate Message
Can you send me the agenda for the class?,low,Legitimate Message
The system update was successful.,low,Legitimate Message
Your PayPal account will be permanently deleted in 24 hours unless you verify now.,high,Suspicious Message
"""Massive savings available only for a limited time.""",medium,Suspicious Message
"""Claim your free bonus before it is gone.""",medium,Spam / Promotional
Use code WELCOME5 for 20% off accessories this midnight.,medium,Suspicious Message
Don't miss out: 80% off groceries ends the end of the week.,medium,Suspicious Message
Let's work together on this problem.,low,Legitimate Message
Use code SAVE10 for 60% off clothing this Monday.,medium,Suspicious Message
"""Your account has been selected for a mandatory security review.""",high,Suspicious Message
Immediate action required: your PayPal account will be closed in 2 hours.,high,Suspicious Message
Use code VIP50 for 70% off clothing this midnight.,medium,Suspicious Message
Your social security benefits are pending. Confirm identity online.,high,Suspicious Message
Use code SAVE10 for 80% off electronics this Friday.,medium,Suspicious Message
Your Amazon password will expire 2 hours. Click here to reset it.,high,Suspicious Message
Please check your inbox for the details.,low,Legitimate Message
"""Limited-time reward. Click now to claim.""",medium,Urgent Action Scam
Great job on the presentation today!,low,Legitimate Message
"""Your account has a security problem. Follow the instructions.""",high,Suspicious Message
Use code FREESHIP for 15% off home goods this Friday.,medium,Spam / Promotional
"""Your personal information requires security validation.""",high,Suspicious Message
The schedule has been shared with the team.,low,Legitimate Message
We could not verify your Amazon details. Update them within 2 hours or lose access.,high,Suspicious Message
Final notice: your Amazon account will be suspended in 3 days. Act now.,high,Suspicious Message
I have uploaded the final presentation.,low,Legitimate Message
We could not verify your Netflix details. Update them within today or lose access.,high,Suspicious Message
Exclusive deal just for you: 50% off accessories at the marketplace.,medium,Suspicious Message
"""Confirm your identity to prevent account restriction.""",high,Suspicious Message
Could you review the file before tomorrow?,low,Legitimate Message
Don't miss out: 70% off beauty products ends this weekend.,medium,Suspicious Message
Earn $50 cashback when you shop groceries at the club.,medium,Spam / Promotional
Your request has been approved.,low,Legitimate Message
Use code EXTRA15 for 10% off accessories this the end of the week.,medium,Suspicious Message
"""Your account details have changed. Confirm whether this was you.""",high,Suspicious Message
"""Big discount alert! Purchase today and save more.""",medium,Suspicious Message
"""Your profile information is incomplete. Update it now.""",high,Suspicious Message
Your bank account shows unauthorized charges. Confirm your identity to dispute them.,high,Suspicious Message
Chase Bank: unusual transaction detected. Confirm at secure portal.,high,Suspicious Message
"""Your security information needs updating. Confirm your details now.""",high,Suspicious Message
Final notice: your insurance account will be suspended in 48 hours. Act now.,high,Suspicious Message
Please check the attached information.,low,Legitimate Message
Your order details are available now.,low,Legitimate Message
Use code SAVE10 for 25% off furniture this the end of the week.,medium,Suspicious Message
Immediate action required: your Netflix account will be closed in 24 hours.,high,Suspicious Message
I have received the documents you sent.,low,Legitimate Message
"""Shopee security team: Your account requires verification to avoid suspension.""",high,Suspicious Message
Could you review the summary before Monday?,low,Legitimate Message
Can we reschedule the meeting to next week?,low,Legitimate Message
Claim your free gift card before the end of the week.,medium,Spam / Promotional
I will call you when I reach home.,low,Legitimate Message
"""Receive a free upgrade immediately.""",medium,Spam / Promotional
"""Get your exclusive deal today.""",medium,Suspicious Message
We could not verify your social media details. Update them within 48 hours or lose access.,high,Suspicious Message
The weekly sync is scheduled for Tuesday.,low,Legitimate Message
The staff meeting is scheduled for Thursday.,low,Legitimate Message
Refer a friend to our partner and earn $2000 in credit.,medium,Suspicious Message
Don't miss out: 40% off shoes ends Friday.,medium,Suspicious Message
Click here to confirm your government tax login before your session expires in 2 hours.,high,Suspicious Message
Your insurance account has been suspended. Verify now to restore access.,high,Suspicious Message
Use code TREAT25 for 60% off groceries this Friday.,medium,Suspicious Message
"""Your account details require confirmation today.""",high,Suspicious Message
Your PayPal account will be permanently deleted in 2 hours unless you verify now.,high,Suspicious Message
Earn $250 cashback when you shop groceries at our partner.,medium,Spam / Promotional
We could not verify your insurance details. Update them within the next hour or lose access.,high,Suspicious Message
"""Your account needs urgent protection from unauthorized access.""",high,Suspicious Message
Please review the changes when possible.,low,Legitimate Message
Use code FREESHIP for 15% off shoes this Friday.,medium,Spam / Promotional
"""Get a special discount by clicking this offer.""",medium,Spam / Promotional
Thank you for your help with the project.,low,Legitimate Message
Immediate action required: your PayPal account will be closed in 3 days.,high,Suspicious Message
"""Get a free shopping voucher instantly.""",medium,Spam / Promotional
"""Get your free coupon by clicking now.""",medium,Spam / Promotional
Your social media account will be permanently deleted in 48 hours unless you verify now.,high,Suspicious Message
See you at the gym tomorrow at 6:15 PM.,low,Legitimate Message
"""Your account security level is low. Upgrade protection now.""",high,Suspicious Message
"Great job on the project, well done!",low,Legitimate Message
Let's catch up over breakfast this Thursday.,low,Legitimate Message
Please confirm your attendance for the event.,low,Legitimate Message
Immediate action required: your social media account will be closed in the next hour.,high,Suspicious Message
Final notice: your bank account will be suspended in today. Act now.,high,Suspicious Message
Please review the attached document.,low,Legitimate Message
Could you review the file before Friday?,low,Legitimate Message
Can we reschedule the workshop to Tuesday?,low,Legitimate Message
Use code SAVE10 for 50% off clothing this midnight.,medium,Suspicious Message
See you at the gym tomorrow at noon.,low,Legitimate Message
"""Your card payment failed. Update your card information immediately.""",high,Suspicious Message
Please update me when you finish the task.,low,Legitimate Message
"""Massive discounts available on selected items.""",medium,Suspicious Message
Could you review the file before Tuesday?,low,Legitimate Message
I will be at the gym around 10:30 AM.,low,Legitimate Message
Use code EXTRA15 for 50% off electronics this this weekend.,medium,Suspicious Message
Click here to confirm your Microsoft login before your session expires in 24 hours.,high,Suspicious Message
"""Free trial available. Start using it today.""",medium,Spam / Promotional
"""Your payment method was rejected. Update your billing information.""",high,Suspicious Message
"""Your login details need confirmation before continuing.""",high,Suspicious Message
"""Congratulations! You are eligible for a special gift.""",medium,Spam / Promotional
Thanks for covering my shift last week.,low,Legitimate Message
Could you review the schedule before tomorrow?,low,Legitimate Message
Your PayPal account will be permanently deleted in the next hour unless you verify now.,high,Suspicious Message
Can you send me the file for the interview?,low,Legitimate Message
Reset your password at http://fake-reset.example immediately.,high,Phishing Attempt
Your subscription has been renewed successfully.,low,Legitimate Message
Can you send me the document for the training session?,low,Legitimate Message
Can we reschedule the interview to Tuesday?,low,Legitimate Message
Can you send me the invoice for the meeting?,low,Legitimate Message
Click here to confirm your PayPal login before your session expires in 3 days.,high,Suspicious Message
Could you review the presentation before tomorrow?,low,Legitimate Message
The lecturer uploaded the new materials today.,low,Legitimate Message
Reminder: the meeting starts at 9 AM.,low,Legitimate Message
Can we reschedule the appointment to tomorrow?,low,Legitimate Message
Earn $1000 cashback when you shop groceries at our partner.,medium,Spam / Promotional
Free keychain with every accessories order this week only.,medium,Spam / Promotional
"""Earn thousands monthly through our easy program.""",medium,Suspicious Message
I've attached the schedule you requested.,low,Legitimate Message
Final notice: your Microsoft account will be suspended in 24 hours. Act now.,high,Suspicious Message
Your Apple recovery request is pending. Confirm your credentials to proceed.,high,Suspicious Message
The event information has been updated.,low,Legitimate Message
"""Your login credentials are at risk. Update them now.""",high,Suspicious Message
Exclusive deal just for you: 30% off electronics at our partner.,medium,Suspicious Message
I have sent the information through email.,low,Legitimate Message
The client call is scheduled for Wednesday.,low,Legitimate Message
The project review is scheduled for Thursday.,low,Legitimate Message
Your Apple account will be permanently deleted in 48 hours unless you verify now.,high,Suspicious Message
See you at the station tomorrow at 6:15 PM.,low,Legitimate Message
"""Your account has detected unusual activity. Verify now.""",high,Suspicious Message
Don't miss out: 80% off groceries ends Friday.,medium,Suspicious Message
"""Your account login has been blocked. Confirm your identity.""",high,Suspicious Message
Reminder: the appointment starts at 5 PM.,low,Legitimate Message
Immediate action required: your bank account will be closed in the next hour.,high,Suspicious Message
Reminder: the meeting starts at 5 PM.,low,Legitimate Message
I have checked the information and everything is correct.,low,Legitimate Message
"""Verify your banking information to avoid permanent account suspension.""",high,Suspicious Message
"""Your account requires authentication before continuing.""",high,Suspicious Message
We could not verify your Apple details. Update them within 2 hours or lose access.,high,Suspicious Message
Use code BONUS20 for 60% off furniture this the end of the week.,medium,Suspicious Message
See you at the airport tomorrow at noon.,low,Legitimate Message
We could not verify your Instagram details. Update them within 3 days or lose access.,high,Suspicious Message
Could you review the report before Thursday?,low,Legitimate Message
I will check the system logs tomorrow.,low,Legitimate Message
"""Free tickets available now. Click to reserve your seat.""",medium,Spam / Promotional
Use code TREAT25 for 15% off clothing this Monday.,medium,Suspicious Message
The document has been reviewed and updated.,low,Legitimate Message
Your your employer account will be permanently deleted in 24 hours unless you verify now.,high,Suspicious Message
I will be at the airport around 2 PM.,low,Legitimate Message
the retailer rewards: claim your spa day worth $2000 today.,medium,Suspicious Message
The document review is completed.,low,Legitimate Message
"""Get a free gift with every purchase today.""",medium,Spam / Promotional
"""Your account has a suspicious transaction waiting for approval.""",high,Suspicious Message
Your PayPal account will be permanently deleted in 12 hours unless you verify now.,high,Suspicious Message
Immediate action required: your Netflix account will be closed in 3 days.,high,Suspicious Message
Your government tax password will expire 48 hours. Click here to reset it.,high,Suspicious Message
"""Your account has detected unauthorized activity. Login now.""",high,Suspicious Message
"""Special discount available before midnight.""",medium,Suspicious Message
"""Join today and unlock premium benefits.""",medium,Suspicious Message
"""Your identity information must be verified to continue service.""",high,Suspicious Message
Get rich quick with this one weird trick doctors hate.,medium,Suspicious Message
Thank you for attending the meeting today.,low,Legitimate Message
The team has approved the final design.,low,Legitimate Message
Thank you for attending the meeting.,low,Legitimate Message
The team meeting is scheduled for Thursday.,low,Legitimate Message
Your Netflix password will expire 2 hours. Click here to reset it.,high,Suspicious Message
Can you send me the report for the workshop?,low,Legitimate Message
I will provide an update later today.,low,Legitimate Message
The presentation was completed on time.,low,Legitimate Message
Can you send me the presentation for the interview?,low,Legitimate Message
"The budget summary looks good, thanks for putting it together.",low,Legitimate Message
The class starts at 10 o'clock today.,low,Legitimate Message
Your email account will be permanently deleted in 12 hours unless you verify now.,high,Suspicious Message
See you at the airport tomorrow at 9 AM.,low,Legitimate Message
Click here to confirm your government tax login before your session expires in the next hour.,high,Suspicious Message
Unusual login detected on your bank account. Confirm your identity within 48 hours.,high,Suspicious Message
"""Free bonus available for new registrations.""",medium,Spam / Promotional
Security alert: someone tried to access your Microsoft account from a new device.,high,Suspicious Message
"""Your account has expired. Confirm your information to continue using services.""",high,Suspicious Message
"""Your payment account has been blocked. Restore access now.""",high,Suspicious Message
Can we reschedule the class to Friday?,low,Legitimate Message
I will be at the airport around noon.,low,Legitimate Message
The application process is finished.,low,Legitimate Message
"""Your online banking access requires reactivation.""",high,Suspicious Message
Click here to confirm your your employer login before your session expires in the next hour.,high,Suspicious Message
"""Your exclusive reward package is ready to collect.""",medium,Suspicious Message
Let me know if you need anything else for report.,low,Legitimate Message
Unusual login detected on your social media account. Confirm your identity within 3 days.,high,Suspicious Message
"""Exclusive member benefits available immediately.""",medium,Suspicious Message
"""Special bonus waiting for you. Click to collect.""",medium,Suspicious Message
See you at home tomorrow at 5 PM.,low,Legitimate Message
Let's catch up over coffee this next week.,low,Legitimate Message
"""Your account has unauthorized access attempts. Secure it now.""",high,Suspicious Message
Earn $1000 cashback when you shop beauty products at our partner.,medium,Spam / Promotional
Exclusive deal just for you: 80% off home goods at our outlet.,medium,Suspicious Message
Please send the final version of the report.,low,Legitimate Message
Immediate action required: your Netflix account will be closed in 12 hours.,high,Suspicious Message
Your reservation details have been updated.,low,Legitimate Message
Please check the latest announcement.,low,Legitimate Message
Could you review the summary before next week?,low,Legitimate Message
Let's catch up over lunch this Friday.,low,Legitimate Message
Reminder: the class starts at 6:15 PM.,low,Legitimate Message
"""Your account is temporarily unavailable. Verify to restore access.""",high,Suspicious Message
Your Microsoft 365 subscription expired. Renew to avoid data loss.,high,Suspicious Message
"""Your account has been temporarily blocked for security reasons.""",high,Suspicious Message
"""Security alert: suspicious login detected. Confirm your password now.""",high,Suspicious Message
"""Your account has detected suspicious login from another country.""",high,Suspicious Message
"""Get cashback rewards from every purchase.""",medium,Spam / Promotional
Thank you for your support and guidance.,low,Legitimate Message
"""Your account has suspicious login records. Review immediately.""",high,Suspicious Message
I have received your message.,low,Legitimate Message
Could you review my draft before I submit it?,low,Legitimate Message
Unusual login detected on your Apple account. Confirm your identity within 2 hours.,high,Suspicious Message
Please contact me if anything changes.,low,Legitimate Message
"""Your account requires two-factor authentication setup. Verify now.""",high,Suspicious Message
"""We detected unauthorized activity. Please verify your account.""",high,Suspicious Message
"""Congratulations! You won a free iPhone. Click now!""",medium,Spam / Promotional
"""Your login attempt requires confirmation. Verify immediately.""",high,Suspicious Message
The package will arrive within three days.,low,Legitimate Message
"Get 30% off your next shoes purchase, use code WELCOME5!",medium,Suspicious Message
Click here to confirm your insurance login before your session expires in the next hour.,high,Suspicious Message
Can you send me the document for the appointment?,low,Legitimate Message
Reminder: the conference starts at 10:30 AM.,low,Legitimate Message
"""Exclusive sale event begins now.""",medium,Suspicious Message
"Get 30% off your next accessories purchase, use code FREESHIP!",medium,Spam / Promotional
Let's catch up over coffee this Friday.,low,Legitimate Message
Thank you for your cooperation.,low,Legitimate Message
Click here to confirm your bank login before your session expires in 48 hours.,high,Suspicious Message
"""Your account has expired. Reactivate it by verifying details.""",high,Suspicious Message
"""Your free coupon is ready. Redeem before expiry.""",medium,Spam / Promotional
Use code EXTRA15 for 25% off beauty products this the end of the week.,medium,Suspicious Message
Your PayPal account has been limited. Sign in to restore access.,high,Suspicious Message
Use code EXTRA15 for 25% off shoes this Friday.,medium,Suspicious Message
The server maintenance has been completed.,low,Legitimate Message
I'm running a few minutes late to the meeting.,low,Legitimate Message
"""Your account has been compromised. Follow the recovery steps now.""",high,Suspicious Message
Your bank password will expire 24 hours. Click here to reset it.,high,Suspicious Message
"""Your account security update is incomplete.""",high,Suspicious Message
We could not verify your PayPal details. Update them within 48 hours or lose access.,high,Suspicious Message
"""Your account has a pending security review.""",high,Suspicious Message
"""Your account has been reported for suspicious activity.""",high,Suspicious Message
Congratulations! You've been selected for a new phone from the club.,medium,Suspicious Message
Final notice: your Amazon account will be suspended in today. Act now.,high,Suspicious Message
I have submitted the application form.,low,Legitimate Message
"""Earn money quickly with our online opportunity.""",medium,Suspicious Message
Can you send me the schedule for the conference?,low,Legitimate Message
See you at the office tomorrow at 6:15 PM.,low,Legitimate Message
Unusual login detected on your your employer account. Confirm your identity within 12 hours.,high,Suspicious Message
You won a gift card. Click here to claim.,medium,Spam / Promotional
Bank transfer of $4500 pending. Approve transaction to release funds.,high,Suspicious Message
"""Big clearance sale! Everything must be sold.""",medium,Suspicious Message
"""Receive a gift package after completing this form.""",medium,Spam / Promotional
Let's catch up over dinner this next week.,low,Legitimate Message
Could you review the agenda before Thursday?,low,Legitimate Message
The package has been delivered to your address.,low,Legitimate Message
Click here to confirm your government tax login before your session expires in 3 days.,high,Suspicious Message
